codigo_contrato,codigo_interno,nome,cliente,descricao,cidade,uf,rodovia,fonte_arquivo,observacoes
ENG-NASC-101.2025,,Via Nascentes,Via Appia,Cadastro inicial gerado a partir da planilha Programação Diária-Semanal (1).xlsm.,Capitolio,MG,MG-050,Programação Diária-Semanal (1).xlsm,Obra/contrato identificado automaticamente a partir da Base de Dados da programação.
CW44702,,Intervias Contorno,Intervias,Cadastro inicial gerado a partir da planilha Programação Diária-Semanal (1).xlsm.,Araras,SP,SPI 165/330,Programação Diária-Semanal (1).xlsm,Obra/contrato identificado automaticamente a partir da Base de Dados da programação.
ENG-NASC-279.2025,,Via Nascentes,Via Appia,Cadastro inicial gerado a partir da planilha Programação Diária-Semanal (1).xlsm.,Capitolio,MG,MG-050,Programação Diária-Semanal (1).xlsm,Obra/contrato identificado automaticamente a partir da Base de Dados da programação.
01/2025.,,Charqueada,Pref. Charqueada,Cadastro inicial gerado a partir da planilha Programação Diária-Semanal (1).xlsm.,Charqueada,,N/A,Programação Diária-Semanal (1).xlsm,Obra/contrato identificado automaticamente a partir da Base de Dados da programação.
CW47272,,Intervias 2%,Intervias,Cadastro inicial gerado a partir da planilha Programação Diária-Semanal (1).xlsm.,Iracemápolis,SP,SP 147,Programação Diária-Semanal (1).xlsm,Obra/contrato identificado automaticamente a partir da Base de Dados da programação.
CW38386,,4ª Intervenção,Intervias,Cadastro inicial gerado a partir da planilha Programação Diária-Semanal (1).xlsm.,Leme,SP,SP 330,Programação Diária-Semanal (1).xlsm,Obra/contrato identificado automaticamente a partir da Base de Dados da programação.
CW49898,,INTERVIAS 191,Intervias,Cadastro inicial gerado a partir da planilha Programação Diária-Semanal (1).xlsm.,Rio Claro,SP,SP 191,Programação Diária-Semanal (1).xlsm,Obra/contrato identificado automaticamente a partir da Base de Dados da programação.
